chembl_id,shape_tanimoto,o3a_score,planarity,heavy_atoms,aromatic_rings,fused_rings,name
CHEMBL4297526,0.4768,93.12,1.097,28,3,2,REMIMAZOLAM
CHEMBL3261331,0.4764,107.47,0.933,29,3,0,RESMETIROM
CHEMBL1201131,0.4754,87.93,0.887,24,1,1,PIPERONYL BUTOXIDE
CHEMBL1719,0.475,,1.221,26,2,2,OLOPATADINE HYDROCHLORIDE
CHEMBL1863513,0.4739,94.17,1.373,31,0,3,INGENOL MEBUTATE
CHEMBL56367,0.4739,94.84,0.792,21,2,0,NIMESULIDE
CHEMBL3707246,0.4731,,0.438,31,3,1,OZANIMOD HYDROCHLORIDE
CHEMBL473417,0.4721,96.1,0.649,27,3,0,VISMODEGIB
CHEMBL3643413,0.4721,108.23,0.936,32,2,1,LENIOLISIB
CHEMBL56337,0.4717,94.13,0.774,21,1,0,EPALRESTAT
CHEMBL589586,0.4716,80.97,0.0,9,0,0,MONOMETHYL FUMARATE
CHEMBL1449,0.4712,95.05,1.223,25,1,1,TICARCILLIN
CHEMBL1200340,0.4699,105.98,0.601,27,0,0,OSELTAMIVIR PHOSPHATE
CHEMBL1292,0.4679,106.63,0.91,33,5,2,CLOFAZIMINE
CHEMBL832,0.4677,98.17,0.691,29,3,0,SULFINPYRAZONE
CHEMBL3989908,0.4676,117.8,0.528,33,3,0,ENASIDENIB
CHEMBL3348923,0.4675,110.61,0.828,32,3,0,TOVORAFENIB
CHEMBL12856,0.4661,73.84,0.574,14,2,0,INAMRINONE
CHEMBL1214124,0.4658,95.15,0.95,27,4,0,PERAMPANEL
CHEMBL1172,0.4653,81.98,0.931,22,2,2,DESLORATADINE
CHEMBL1631694,0.4646,77.72,0.97,19,2,0,FEXINIDAZOLE
CHEMBL877,0.4645,64.34,0.826,11,0,0,TRANEXAMIC ACID
CHEMBL3989861,0.4637,89.53,0.825,28,1,0,DESVENLAFAXINE FUMARATE
CHEMBL2107381,0.4625,97.55,1.351,26,1,0,URIDINE TRIACETATE
CHEMBL1455,0.4623,86.8,0.209,15,1,0,ALTRETAMINE
CHEMBL3989402,0.4619,93.91,0.984,26,0,0,PERAMIVIR
CHEMBL1111,0.4611,106.13,1.423,28,3,0,AMBRISENTAN
CHEMBL937,0.4609,92.4,1.004,27,0,0,DIETHYLCARBAMAZINE CITRATE
CHEMBL1419,0.4602,73.17,0.867,19,1,0,SIBUTRAMINE
CHEMBL780,0.4596,94.87,1.245,27,0,0,PENTETIC ACID
CHEMBL601719,0.4589,99.81,0.885,30,3,0,CRIZOTINIB
CHEMBL169901,0.4588,78.99,0.317,13,1,1,DEBRISOQUIN
CHEMBL489411,0.4586,87.33,0.866,23,1,0,AMOROLFINE
CHEMBL1441,0.4582,70.15,0.536,11,1,0,ETHIONAMIDE
CHEMBL1089318,0.458,102.58,1.038,27,3,0,OPICAPONE
CHEMBL119423,0.4579,74.92,0.0,10,2,1,TISOPURINE
CHEMBL431770,0.4566,103.05,0.498,28,3,1,ISTRADEFYLLINE
CHEMBL4650216,0.4565,,1.353,33,4,1,DARIDOREXANT HYDROCHLORIDE
CHEMBL193240,0.4562,92.59,1.004,26,2,0,ROFLUMILAST
CHEMBL1232131,0.4555,75.54,0.505,12,1,0,DOBESILIC ACID
CHEMBL534,0.4547,79.85,1.07,22,2,2,KETOTIFEN
CHEMBL1201281,0.4545,97.81,1.083,27,1,0,CHLORAMPHENICOL SUCCINIC ACID
CHEMBL231779,0.4544,111.37,0.411,34,3,1,APIXABAN
CHEMBL1908847,0.454,77.36,0.807,17,0,3,SPARTEINE
CHEMBL493287,0.4533,76.85,0.374,12,0,0,GLUCOSAMINE
CHEMBL421701,0.4527,99.66,0.38,28,3,2,DITHIAZANINE IODIDE
CHEMBL1200714,0.4515,76.83,0.766,17,1,0,CHLORMEZANONE
CHEMBL1372950,0.4513,101.12,0.957,31,3,4,NICERGOLINE
CHEMBL2105760,0.4512,85.59,1.024,31,4,2,BREXPIPRAZOLE
CHEMBL468837,0.451,85.62,0.983,18,0,0,HEPTABARBITAL
CHEMBL12713,0.4507,99.08,0.53,31,3,1,SERTINDOLE
CHEMBL1648,0.4505,92.81,1.203,27,2,1,ISRADIPINE
CHEMBL956,0.4504,74.82,0.694,18,2,0,SUPROFEN
CHEMBL1144,0.4496,85.59,1.271,30,0,1,PRAVASTATIN
CHEMBL1740513,0.4494,66.61,0.574,10,1,0,ISAXONINE
CHEMBL1201794,0.4482,107.93,0.839,31,3,2,RIBOFLAVIN 5'-PHOSPHATE
CHEMBL2079130,0.448,89.97,1.178,24,3,0,VONOPRAZAN
CHEMBL2105743,0.447,,1.02,29,2,1,OLODATEROL HYDROCHLORIDE
CHEMBL1201037,0.4463,,0.81,14,0,0,EFLORNITHINE HYDROCHLORIDE
CHEMBL3707395,0.4458,93.96,1.028,27,2,0,ELAFIBRANOR
CHEMBL1774461,0.4451,88.87,0.6,26,2,0,FLORBETAPIR F 18
CHEMBL4303214,0.445,103.14,0.982,29,4,2,FRUQUINTINIB
CHEMBL1025,0.4446,64.33,0.652,11,0,0,ISOFLUROPHATE
CHEMBL1200770,0.4443,81.38,1.303,20,1,0,IOCETAMIC ACID
CHEMBL2105827,0.4439,63.86,0.638,10,0,0,"GLYCEROL, IODINATED"
CHEMBL1201733,0.4434,,1.006,32,4,1,PAZOPANIB HYDROCHLORIDE
CHEMBL5315118,0.4431,91.85,0.999,34,0,1,ILOPROST TROMETHAMINE
CHEMBL515387,0.4416,89.47,0.887,26,1,0,GOSOGLIPTIN
CHEMBL2443262,0.4415,88.84,0.974,27,2,0,OLICERIDINE
CHEMBL1200666,0.4413,92.71,0.889,30,0,1,CALCIPOTRIENE
CHEMBL4071161,0.4406,132.43,0.468,34,4,1,TIRABRUTINIB
